teams_ids,team,country,tm_data,city
13139,Schotz,Switzerland,"Fussballclub Schötz is a football club from Schötz, Switzerland. The club, founded in 1927, is currently playing in the Swiss 1. Liga."," football club from Schötz"
18869,Bo'ness United,Scotland,"Bo'ness United Football Club is a Scottish football club, based in the town of Bo'ness. The team plays in the Lowland League after winning the East of Scotland and gaining SFA membership in 2020."," Scottish football club"
,Sremčica,Serbia,,
,Neretva Metkovic,Croatia,,
,Krk,Croatia,,
21694,Young Boys II,Switzerland,,
,Kutjevo,Croatia,,
15057,Arcahaie,Haiti,,
,Sloboda Novi Kozarci,Serbia,,
,Al Fallah,Sudan,,
,SJ Vaslui,Romania,,
,Strømmen,Norway,,
10436,Puchov,Slovakia,"MŠK Púchov is a Slovak football club, playing in the town of Púchov. In July 2006, the club lost its main sponsor, Matador a.s., and was renamed FK Púchov."," Slovak football club"
,Crikvenica,Croatia,,
12400,Brežice,Slovenia,"Nogometni klub Brežice 1919, commonly referred to as NK Brežice 1919 or simply Brežice, is a Slovenian football club from Brežice. As of the 2022–23 season, they competes in the Slovenian Third League, the third highest league in Slovenia. The club was formerly known as Svoboda Brežice."," Slovenian football club from Brežice"
,NSI II,Faroe Islands,,
,SV Hemelingen,Germany,,
,Turk Gucu Friedberg,Germany,,
,Lokomotive Pamir,Tajikistan,,
18266,Balassagyarmat,Hungary,"Balassagyarmati Városi Sportegyesület is a professional football club based in Balassagyarmat, Nógrád County, Hungary, that competes in the Nemzeti Bajnokság III, the third tier of Hungarian football."," professional football club based in Balassagyarmat"
,Mezokovesd-Zsory II,Hungary,,
,Ferencvaros II,Hungary,,
,Majosi,Hungary,,
,FC Bocholt,Germany,,
14206,Rockdale City Suns,Australia,"Rockdale Ilinden Football Club is an Australian soccer club based in Sydney suburb of Rockdale. Founded in 1969, the club competes in the highest men's competition in New South Wales, the NSW Premier League.",n Australian soccer club based in Sydney suburb of Rockdale
,SG Aumund-Vegesack,Germany,,
,Adelaide United II,Australia,,
,Aelmeboda/Linneryd,Sweden,,
,Wienerberg,Austria,,
,StraYwalchen,Austria,,
12609,Cham,Switzerland,SC Cham 1910 is a Swiss football team which plays in the third tier of the Swiss football pyramid. They are based in Cham and were founded in 1910.,
18293,Menfocsanak,Hungary,,
18265,Putnok,Hungary,"Putnok VSE is a Hungarian football club located in Putnok, Hungary. It currently plays in Hungarian National Championship II. The team's colors are blue and black."," Hungarian football club located in Putnok"
,Sajobabony,Hungary,,
18270,Hatvan,Hungary,"Futball Club Hatvan is a professional football club based in Hatvan, Heves County, Hungary, that competes in the Nemzeti Bajnokság III, the third tier of Hungarian football."," professional football club based in Hatvan"
18292,Lipot,Hungary,,
,Dinamo Pancevo,Serbia,,
13204,Sidi Kacem,Morocco,Union Sportive de Sidi Kacem is a Moroccan football club currently playing in the second division and was founded in 1927. Most of the club's achievements came in the 1970s and 1980s after gaining promotion to the GNF 1 in 1967. The club plays at the Colonel Abdelkader Allam Stadium.," Moroccan football club currently playing in the second division and was founded in 1927"
,TS Sporting,South Africa,,
,Slavonac Bukovlje,Croatia,,
12738,Struga,FYR Macedonia,"FC Struga Trim-Lum is a football club based in Struga, North Macedonia. They are currently competing in the Macedonian First League."," football club based in Struga"
,Al Taqdom,Saudi Arabia,,
18494,Flacara Făleşti,Moldova,,
,Black Stars,Switzerland,,
16747,Lokomotiv Daugavpils,Latvia,"Lokomotīve Daugavpils, also known as Lokomotiv Daugavpils, is a Latvian motorcycle speedway team based in Daugavpils who race in the Polish First League (2nd division)."," Latvian motorcycle speedway team based in Daugavpils who race in the Polish First League (2nd division)"
,Junior Managua,Nicaragua,,
,B 1913,Denmark,,
,Dornbirner SV,Austria,,
18263,ESMTK,Hungary,"Erzsébeti Spartacus Munkás Testgyakorlók Köre Labdarúgó Egyesület, commonly known as ESMTK, is a Hungarian football club from the town of Pesterzsébet, Hungary."," Hungarian football club from the town of Pesterzsébet"
,Körösladány,Hungary,,
,Fuzesgyarmati,Hungary,,
18264,Jaszberenyi,Hungary,"Jászberényi Futball Club is a professional football club based in Jászberény, Jász-Nagykun-Szolnok County, Hungary, that competes in the Nemzeti Bajnokság III, the third tier of Hungarian football."," professional football club based in Jászberény"
18268,Gyongyos,Hungary,"Gyöngyösi Atlétikai Klub is a professional football club based in Gyöngyös, Heves County, Hungary, that competes in the Nemzeti Bajnokság III, the third tier of Hungarian football."," professional football club based in Gyöngyös"
22467,Szegedi VSE,Hungary,Szegedi Vasutasok Sport Egyesülete is the Hungarian football club from the town of Szeged.,
14550,Slavičín,Czech Republic,,
,Havlickuv Brod,Czech Republic,,
,Bleiburg,Austria,,
,Kraig,Austria,,
18388,Imst,Austria,,
15100,Wollongong Wolves,Australia,"Wollongong Wolves Football Club is an Australian semi-professional association football club based in Wollongong, in the Illawarra region of New South Wales. The club currently competes in the National Premier Leagues NSW, the second-tier of football in Australia.",n Australian semi-professional association football club based in Wollongong
18232,Alliance,Tanzania,,
18225,Lipuli,Tanzania,"Lipuli FC is a football club based in Iringa, Tanzania. They play at 5,000 capacity Samora Stadium in the Tanzanian premier League after being promoted for the 2017/18 season.They primarily wear red with white trim. They are now wearing white with maroon trims."," football club based in Iringa"
17948,Mbao,Tanzania,"Mbao FC is a football club from Mwanza, Tanzania. 'Mbao' is the Swahili word for 'wood'."," football club from Mwanza"
12559,Stal Stalowa Wola,Poland,"Stal Stalowa Wola Piłkarska Spółka Akcyjna,  commonly referred to as Stal Stalowa Wola (Polish pronunciation: [ˈstal staˈlɔva ˈvɔla]), is a Polish professional football club based in Stalowa Wola, Subcarpathian Voivodeship."," Polish professional football club based in Stalowa Wola"
22401,Tepelena,Albania,"Futboll Klub Tepelena is an Albanian football club based on Tepelenë, founded in 1945. Their home ground is ""Sabaudin Shehu Stadium"". The team currently plays in the Kategoria e Dytë, Group B.",
18224,Ndanda,Tanzania,"Ndanda Football Club is a professional football club based in the city of Mtwara, Tanzania. They compete in the Tanzanian Premier League, the highest tier of league football in Tanzania. Home games are being played at the Nangwanda Sijaona Stadium in Mtwara."," professional football club based in the city of Mtwara"
13183,Vllaznia II,Albania,,
10433,Tomori,Albania,KF Tomori is an Albanian football club based in the city of Berat. The club's home ground is the Tomori Stadium and they currently participate in the Kategoria e Parë.,n Albanian football club based in the city of Berat
,Aarhus U19,Denmark,,
16770,Fanna,Sweden,,
22399,Memaliaj,Albania,"KF Memaliaj is an Albanian football club based in the small town of Memaliaj. KF Memaliaj is currently in the Kategoria e Dytë. They play their games at the ""Karafil Çaushi"" Stadium.",n Albanian football club based in the small town of Memaliaj
,Butrinti Sarande,Albania,,
,Albpetrol Patos,Albania,,
17754,Bayer Leverkusen (W),Germany,"Bayer 04 Leverkusen, also known as Bayer Leverkusen, Leverkusen, or simply known as Bayer, is a German women's football club based in Cologne, North Rhine-Westphalia. The club plays in the Frauen-Bundesliga, the top tier of German women's football."," German women's football club based in Cologne"
17745,Frankfurt (W),Germany,,
,Otrant-Olympic,Montenegro,,
,Skrapari,Albania,,
17367,Kopetdag,Turkmenistan,"Football Club Köpetdag is a Turkmen professional football club based in Ashgabat, currently playing in the Ýokary Liga. Their home stadium is Köpetdag Stadium which can hold 26,000 people. Köpetdag traditional kit colours are blue and white."," Turkmen professional football club based in Ashgabat"
19856,Soimii Lipova,Romania,"Clubul Sportiv Șoimii Lipova, commonly known as CS Șoimii Lipova, or simply Șoimii Lipova, is a Romanian professional football club based in Lipova, Arad County. The team was founded in 1974 and played in the Divizia C for 14 years, between 1980 and 1994."," Romanian professional football club based in Lipova"
,Haskovo 1957,Bulgaria,,
,Boulevard Blazers,Bermuda,,
,Lider,Kyrgyzstan,,
,AD Santa Rosa,Costa Rica,,
17756,Desamparados,Argentina,,
13764,Eastern Suburbs,New Zealand,"Eastern Suburbs Association Football Club is a professional Association football club based in the suburb of Kohimarama in Auckland, New Zealand. The club competes in the Northern League."," professional Association football club based in the suburb of Kohimarama in Auckland"
,Metalurh Zaporizhia U19,Ukraine,,
15296,Paro United,Bhutan,Paro United Football Club was a Bhutanese football club from Paro. The club played at the Woochu Sports Arena. They competed in the 2020 edition of the Bhutan Premier League.The club was formed by Paro residents and the Thai-Bhutan society.,
12651,PSNI,Northern Ireland,"PSNI Football Club is an intermediate, Northern Irish football club playing in the NIFL Premier Intermediate League. The club is associated with the Police Service of Northern Ireland, and its home ground is Newforge Lane in Belfast.",n intermediate
12645,Loughgall,Northern Ireland,"Loughgall Football Club is a semi-professional, Northern Irish football club playing in the NIFL Championship."," semi-professional"
15676,El Vencedor,El Salvador,"Club Deportivo El Vencedor, commonly referred to as El Vencedor,  is a Salvadoran professional football club based at Santa Elena, Usulután Department, El Salvador. It plays in Primera División, having gained promotion from Segunda División Salvadorean in 2018–19.",
,Puntarenas FC,Costa Rica,,
14868,Formosa,Brazil,,
14258,Deportivo Reu,Guatemala,"Deportivo Reu is a Guatemalan football team from Retalhuleu, Retalhuleu Department. It was founded on 12 June 2013 and currently plays on Primera División de Ascenso, second tier on Guatemalan football.",
13969,High Quality United,Bhutan,,
15635,Tambov U21,Russia,,
,Tirana II,Albania,,
,Hamburger III,Germany,,
,TuS Ennepetal,Germany,,
13368,AS Police,Burkina Faso,,
,Wakirya,Guinea,,
,Sankata,Nepal,,
,Vigasio,Italy,,
,Armed Police Force,Nepal,,
13222,Bukavu Dawa,Congo DR,"Olympic Club Bukavu Dawa is a football club in Bukavu, Democratic Republic of Congo and currently playing in the Linafoot, the top level of professional football in DR Congo and they play at 10,000 capacity Stade de la Concorde."," football club in Bukavu"
,Vigor Carpaneto,Italy,,
11434,PSTC,Brazil,,
9721,Coimbroes,Portugal,,
,Lille B,France,,
,Saint Quentin,France,,
,Croix,France,,
10013,Mulhouse,France,,
,Louhans-Cuiseaux,France,,
,Saint-Malo,France,,
11310,Blois,France,"Blois Football 41 is a French football club based in Blois, Centre-Val de Loire. In 1999, Association amicale de la jeunesse blésoise (commonly abbreviated as AAJB or AAJ Blois) has founded in 1912 merged with Blois Union Sportive, founded in 1984, to form the current club."," French football club based in Blois"
,Saint-Priest,France,,
,Municipal Garabito,Costa Rica,,
,Chyasal Youth Club,Nepal,,
,Loubha Télimélé,Guinea,,
,ASFAG,Guinea,,
,Sintra,Portugal,,
,Châteauneuf-sur-Loire,France,,
14398,OSS '20,Netherlands,,
19897,Andratx,Spain,"Club Deportivo Andratx / Club Esportiu Andratx (in Catalan)  is a football team based in Andratx, Balearic Islands. Founded in 1957, the team plays in Segunda División RFEF – Group 3. The club's home ground is Estadi de Sa Plana."," football team based in Andratx"
,Aurillac Arpajon,France,,
10008,Sarreguemines,France,"Sarreguimines Football Club is a French football club from Sarreguemines, Moselle, Lorraine. Founded in 1919 and formerly known as Association sarreguiminois de football 93, it plays in the Regional 1, Lorraine, the sixth level of the French football league system, following relegation in 2020."," French football club from Sarreguemines"
,Vaulx-en-Velin,France,,
11622,La Flèche,France,"Racing Club Flèchois is a French football club based in La Flèche. As of the 2020–21 season, the club plays in Régional 1 Pays de la Loire, following relegation from 2019–20 Championnat National 3. The club also has a women's team which currently play in the Sarthe district league."," French football club based in La Flèche"
,Grand-Quevilly,France,,
,Brest II,France,,
23650,Ain Sud,France,"Ain Sud, previously Ain Sud Foot, is a French association football team founded in 1999. They are based in Saint-Maurice-de-Beynost, Auvergne-Rhône-Alpes, France and are currently playing in the Championnat National 3 Group M, since the 2017–18 season.",
,Chaves II,Portugal,,
,Proline,Uganda,,
,Groene Ster,Netherlands,,
,Rodez II,France,,
,Flamme Olympique,Guinea,,
,Stockay-Warfusee,Belgium,,
612,Ronse,Belgium,K.S.K. Ronse is a Belgian football club from Ronse in East Flanders born in 1987 from the fusion between Assa Ronse and R.F.C. Renaisien.," Belgian football club from Ronse in East Flanders born in 1987 from the fusion between Assa Ronse and R"
21430,Sparta Petegem,Belgium,,
23520,Gullegem,Belgium,FC Gullegem is a Belgian football club. It has the colors white and red.,
10030,Mantes,France,Football Club Mantois 78 are a French football club that was founded in 1994. The club is based in Mantes-la-Ville in the suburbs of Paris and is of the Yvelines department. The club's relatively late foundation is due to a merger between three other clubs from the region.,
,Marseille Endoume Catalans,France,,
13308,Evreux,France,,
18756,Auxerre II,France,,
18754,Caen II,France,,
19698,Ivry,France,"Union Sportive d'Ivry are a French multi-sports club based in Ivry-sur-Seine, Val-de-Marne. The club is primarily known for its football team and handball team. US Ivry play their home matches at the Stade Clerville, which seats 2,000 spectators.",
9049,Consolat,France,"Athlético Marseille is a French amateur football club founded in 1964 and based in the Bouches-du-Rhone department of Marseille. The club was named until 2018 after Consolat, a neighborhood located in La Calade, in the 15th arrondissement, north of Marseille."," French amateur football club founded in 1964 and based in the Bouches-du-Rhone department of Marseille"
,Besancon FC,France,,
,Ajaccio II,France,,
,Stade Pontivy,France,,
,Mont-de-Marsan,France,,
,Jong Volendam,Netherlands,,
12946,HSV Hoek,Netherlands,,
13270,Cwmamman United,Wales,,
,Savignanese,Italy,,
10644,Bocholt,Belgium,"1. FC Bocholt is a German association football club based in Bocholt, North Rhine-Westphalia."," German association football club based in Bocholt"
,Pepingen-Halle,Belgium,,
16084,Triglia,Greece,"Triglia Football Club is a Greek professional football club based in Triglia, Chalkidiki, Greece."," Greek professional football club based in Triglia"
,Acoconut,Suriname,,
15570,Zelzate,Belgium,,
,Helson Helchteren,Belgium,,
,Yaxley FC,England,,
16328,Cunupia,Trinidad and Tobago,,
9308,Deveronvale,Scotland,"Deveronvale Football Club are a senior association football club currently playing the Highland Football League in Scotland. They were founded in 1938 and play their football at the Princess Royal Park in the town of Banff, (formerly Banffshire, now officially Aberdeenshire), Scotland.",
,Wick Academy,Scotland,,
,Sint-Niklaas,Belgium,,
10959,Sporting Hasselt,Belgium,,
,Corwen,Wales,,
9132,Porthmadog,Wales,"Porthmadog Football Club are a football team, playing in the Cymru North, the second tier of the Welsh football pyramid. The club was founded in 1872 and plays at Y Traeth, Porthmadog, which accommodates 3,000 spectators (800 seated).",
,STM Sports,Wales,,
,Esperanza Pelt,Belgium,,
,City Pirates,Belgium,,
,New Road Team,Nepal,,
22963,Friends Club,Nepal,Friends Club is a Nepali professional football club from the Kopundole neighborhood of Lalitpur. The club is known for nurturing young talent of Nepalese Football. Friends Club has produced more than 200 national football players to date.," Nepali professional football club from the Kopundole neighborhood of Lalitpur"
,Kysa,Zambia,,
12652,Stade Tunisien,Tunisia,"Stade Tunisien or ST is a football club from Bardo, Tunis, Tunisia. Alongside Espérance de Tunis and Club Africain it forms the group of three best teams in the capital city region."," football club from Bardo"
,Issia Wazi,Ivory Coast,,
,Blackfield & Langley,England,,
8539,Sanjoanense,Portugal,"Associação Desportiva Sanjoanense is a Portuguese football club based in São João da Madeira. Founded in 1924, it currently plays in the Liga 3, holding home games at Estádio Conde Dias Garcia."," Portuguese football club based in São João da Madeira"
13509,Royal Eagles,South Africa,"Royal Eagles was a South African football club based in Maritzburg, KwaZulu Natal playing in the National First Division.",
,Westhoek,Belgium,,
,Mlatho Mponela,Malawi,,
13420,Le Puy,France,"Le Puy-en-Velay Football 43 Auvergne is a French football club based in Le Puy-en-Velay in the Auvergne region. It competes in the Championnat National, the third tier of French football. The club was founded in 1903 under the name AS Le Puy."," French football club based in Le Puy-en-Velay in the Auvergne region"
10200,Fabril Barreiro,Portugal,"Grupo Desportivo Fabril is a Portuguese sports club established as Grupo Desportivo CUF do Barreiro (commonly known as CUF Barreiro), with CUF standing for the company Companhia União Fabril.",
,Minerva,Spain,,
,FSV Wacker Nordhausen II,Germany,,
,Swansea University,Wales,,
,EPAC United,Malawi,,
,VFB Ginsheim,Germany,,
,Spelle-Venhaus,Germany,,
,Karpaty U19,Ukraine,,
13076,Armee,Ivory Coast,,
,Molepolole City,Botswana,,
,Club Cipolletti,Argentina,,
,EDMF Churra,Spain,,
15634,PFC Sochi U21,Russia,,
13665,Fortuna Mfou,Cameroon,,
,Uljanik,Croatia,,
,Ciego de Avila,Cuba,,
,Geestemuende,Germany,,
,SV Schermbeck,Germany,,
,Independiente San Vicente,El Salvador,,
,Fernando de la Mora,Paraguay,,
,Hoogland,Netherlands,,
,H.V. & C.V. Quick,Netherlands,,
10951,Dongen,Netherlands,"VV Dongen is a football club from Dongen, Netherlands. Dongen played in the Sunday Derde Divisie (4th tier) in the 2016-17 season, where it ended third and participated in the qualification rounds for the Tweede Divisie."," football club from Dongen"
,Txantrea,Spain,,
,Werder Bremen III,Germany,,
,SV Curslack-Neuengamme,Germany,,
,Husumer SV,Germany,,
,Post,Austria,,
15832,Berço,Portugal,,
,Dravograd,Slovenia,,
23945,Teplice II,Czech Republic,,
13775,Deportivo Caaguazu,Paraguay,,
,Voluntari II,Romania,,
15840,Kozaf,Burkina Faso,"Kassoum Ouédraogo Zico Académie de Football  is a Burkinabé football club based in Ouagadougou. The team has played in the Burkinabé Premier League, but was delegated to the Burkinabé Deuxième Division after the 2020-2021 season. They play their home games at the Stade Municipal."," Burkinabé football club based in Ouagadougou"
18375,Novi Beograd,Serbia,,
,AaB U19,Denmark,,
,Sportif de Chebba,Tunisia,,
,Clachnacuddin,Scotland,,
,Racing d'Abidjan,Ivory Coast,,
,Pribram II,Czech Republic,,
,Chernolomets 1919,Bulgaria,,
22463,Yambol 1915,Bulgaria,"FC Yambol 1915 is a Bulgarian football club based in Yambol, currently playing in the Third Amateur Football League (Bulgaria), the third division of Bulgarian football. Its home stadium ""Tundzha"" has a capacity of 18,000 seats. Club colors are blue and white."," Bulgarian football club based in Yambol"
,Dimitrovgrad,Bulgaria,,
8648,Admira Prague,Czech Republic,"FK Admira Prague is a Czech football club located in Prague-Kobylisy, Czech Republic. It currently plays in the Bohemian Football League, which is the third level of competition in the country."," Czech football club located in Prague-Kobylisy"
,Sevlievo,Bulgaria,,
,Drenovets,Bulgaria,,
,Maroons,Uganda,,
15203,Astana II,Kazakhstan,,
,Skiljebo SK,Sweden,,
,Anundsjoe IF,Sweden,,
,Inter Playa del Carmen,Mexico,,
13765,Saint Louis FC,USA,"Saint Louis FC was an American professional soccer team based in St. Louis, Missouri. The team was founded in May 2014, and competed in the USL Championship. The team played their matches at West Community Stadium, a venue inside the World Wide Technology Soccer Park.",
8920,Ringkobing,Denmark,"Ringkøbing Idrætsforening is an association football club based in the town of Ringkøbing, West Jutland, Denmark, that competes in the Denmark Series, the fourth tier of the Danish football league system.",n association football club based in the town of Ringkøbing
,TSB Flensburg,Germany,,
,Friedburg / Pöndorf,Austria,,
,IFK Haessleholm,Sweden,,
,BK Olympic,Sweden,,
12959,Sokol Zivanice,Czech Republic,"TJ Sokol Živanice is a football club from the village of Živanice in the Pardubice Region of the Czech Republic. The club plays in the Bohemian Football League, which is the third tier of Czech football system."," football club from the village of Živanice in the Pardubice Region of the Czech Republic"
13751,Ottawa Fury,USA,"Ottawa Fury Football Club was a Canadian professional soccer club based in Ottawa, Ontario. The club competed in the North American Soccer League and USL Championship and played its home games at TD Place Stadium.",
,AFK Linkoeping,Sweden,,
,Kickers Emden,Germany,,
13743,Fresno,USA,"Fresno Football Club was an American professional soccer team based in Fresno, California. Founded in 2017, the team was a member of the USL Championship, a second-tier league in the American Soccer Pyramid. Their first game took place on March 17, 2018.",
23584,Vardeneset,Norway,"Vardeneset Ballklubb is a Norwegian association football club from Stavanger. The club was founded in 22 November 1990 when it split from the multi-sports club Vardeneset IF, founded in 1975. The club colours are white and red."," Norwegian association football club from Stavanger"
21004,Olympia Wijgmaal,Belgium,,
15151,North Texas,USA,"North Texas Soccer Club is a professional soccer club playing in the MLS Next Pro, a third division league of American soccer. The team is owned by, and operates as the reserve team of the Major League Soccer club FC Dallas."," professional soccer club playing in the MLS Next Pro"
,Buducnost Krusik,Serbia,,
,SW Essen,Germany,,
,Soedertaelje FK,Sweden,,
,Sokol Hostouň,Czech Republic,,
19855,Tavua FC,Fiji,"Tavua F.C. is a Fijian football team playing in the first division of the Fiji Football Association competitions. It is based in Tavua, which is situated on the western side of the main island of Viti Levu, between the town of Rakiraki and the town of Ba. Their home stadium is Garvey Park."," Fijian football team playing in the first division of the Fiji Football Association competitions"
,SC Weiche Flensburg II,Germany,,
,Monaco B,France,,
,Oissel,France,,
,IK Gauthiod,Sweden,,
,Kungsaengens IF,Sweden,,
,Vaenersborgs IF,Sweden,,
